id,slug,question,event_title,event_slug,created_at,end_date,updated_at,closed,volume,p1,p2,resolution,cluster
687678,will-trump-pardon-hunter-biden-before-2027,Will Trump pardon Hunter Biden before 2027?,Who will Trump pardon before 2027?,who-will-trump-pardon-before-2027,2025-11-17 18:39:15+00:00,2026-12-31 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,0.0,0.044,0.956,UNRESOLVED,BIDEN_PARDON
537906,will-trump-pardon-hunter-biden-in-2025-336-867-874,Will Trump pardon Hunter Biden in 2025?,Who will Trump pardon in 2025?,who-will-trump-pardon-in-2025,2025-04-17 22:09:43+00:00,2025-12-31 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,476129.943696,0.0,1.0,NO,BIDEN_PARDON
528612,trump-overturns-biden-pardon-before-july,Trump overturns Biden pardon before July?,Trump overturns Biden pardon before July?,trump-overturns-biden-pardon-before-july,2025-03-17 16:49:33+00:00,2025-06-30 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,69478.868016,0.0,1.0,NO,BIDEN_PARDON
512165,will-trump-pardon-hunter-biden-in-his-first-100-days,Will Trump pardon Hunter Biden in his first 100 days?,Who will Trump pardon in first 100 days?,trump-pardons,2024-11-06 15:41:00+00:00,2025-04-29 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,1312596.358724,0.0,1.0,NO,BIDEN_PARDON
510994,will-trump-pardon-hunter-biden,Will Trump pardon Hunter Biden?,Will Trump pardon Hunter Biden?,will-trump-pardon-hunter-biden,2024-10-25 20:15:45+00:00,2025-04-19 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,1368762.253849,0.0,1.0,NO,BIDEN_PARDON
500502,will-biden-pardon-sbf-this-term,Will Biden pardon SBF?,Who will Biden pardon?,who-will-biden-pardon,2024-03-28 16:43:29+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,8209070.796648,0.0,1.0,NO,BIDEN_PARDON
502038,will-joe-pardon-hunter-biden,Will Joe pardon Hunter Biden?,Will Joe pardon Hunter Biden?,will-joe-pardon-hunter-biden,2024-06-03 17:21:42+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,3401720.780293,1.0,0.0,YES,BIDEN_PARDON
502120,will-biden-pardon-ross-ulbricht,Will Biden pardon Ross Ulbricht?,Who will Biden pardon?,who-will-biden-pardon,2024-06-05 00:26:16+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,1401484.693197,0.0,1.0,NO,BIDEN_PARDON
506488,will-biden-pardon-trump,Will Biden pardon Trump?,Who will Biden pardon?,who-will-biden-pardon,2024-09-05 21:53:49+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,6028443.253136,0.0,1.0,NO,BIDEN_PARDON
507434,will-biden-pardon-diddy,Will Biden pardon Diddy?,Who will Biden pardon?,who-will-biden-pardon,2024-09-18 23:30:09+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,819434.542274,0.0,1.0,NO,BIDEN_PARDON
513456,will-biden-pardon-julian-assange,Will Biden pardon Julian Assange?,Who will Biden pardon?,who-will-biden-pardon,2024-11-19 17:39:36+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,510391.245167,0.0,1.0,NO,BIDEN_PARDON
514364,will-biden-pardon-anthony-fauci,Will Biden pardon Fauci?,Who will Biden pardon?,who-will-biden-pardon,2024-12-02 15:17:17+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,1735202.975087,1.0,0.0,YES,BIDEN_PARDON
514462,will-biden-pardon-edward-snowden,Will Biden pardon Edward Snowden?,Who will Biden pardon?,who-will-biden-pardon,2024-12-02 19:28:18+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,222488.206034,0.0,1.0,NO,BIDEN_PARDON
514821,will-biden-pardon-adam-schiff,Will Biden pardon Adam Schiff?,Who will Biden pardon?,who-will-biden-pardon,2024-12-04 23:12:07+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,770037.792717,1.0,0.0,YES,BIDEN_PARDON
514822,will-biden-pardon-liz-cheney,Will Biden pardon Liz Cheney?,Who will Biden pardon?,who-will-biden-pardon,2024-12-04 23:15:50+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,1792506.753123,1.0,0.0,YES,BIDEN_PARDON
514824,will-biden-pardon-jim-biden,Will Biden pardon Jim Biden?,Who will Biden pardon?,who-will-biden-pardon,2024-12-04 23:27:36+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,3115190.047687,1.0,0.0,YES,BIDEN_PARDON
515446,will-biden-pardon-hillary,Will Biden pardon Hillary?,Who will Biden pardon?,who-will-biden-pardon,2024-12-11 22:23:50+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,812585.337411,0.0,1.0,NO,BIDEN_PARDON
515563,will-biden-issue-more-pardons-than-trump,Will Biden issue more pardons than Trump?,Will Biden issue more pardons than Trump?,will-biden-issue-more-pardons-than-trump,2024-12-13 18:01:58+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,477911.198087,0.0,1.0,NO,BIDEN_PARDON
516523,will-biden-issue-a-preemptive-pardon,Will Biden issue a preemptive pardon?,Will Biden issue a preemptive pardon?,will-biden-issue-a-preemptive-pardon,2024-12-27 18:38:05+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,165670.878169,1.0,0.0,YES,BIDEN_PARDON
517431,will-biden-pardon-adam-kinzinger,Will Biden pardon Adam Kinzinger?,Who will Biden pardon?,who-will-biden-pardon,2025-01-06 00:25:22+00:00,2025-01-20 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,92678.246051,1.0,0.0,YES,BIDEN_PARDON
518471,will-biden-say-pardon-during-farewell-address,"Will Biden say ""pardon"" during farewell address? ",What will Biden say during farewell address?,what-will-biden-say-during-farewell-address,2025-01-13 22:42:37+00:00,2025-01-15 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,12235.417038,0.0,1.0,NO,BIDEN_PARDON
503107,will-biden-say-pardon-during-his-speech,"Will Biden say ""Pardon"" during his speech?",What will Biden say during Immunity Speech today?,what-will-biden-say-durring-immunity-speech-today,2024-07-01 22:37:14+00:00,2024-07-31 12:00:00+00:00,2026-03-19 09:09:23+00:00,1,202.531642,0.0,1.0,NO,BIDEN_PARDON
1571566,us-x-iran-ceasefire-by-december-31-969-392,US x Iran ceasefire by December 31?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-03-12 21:30:30+00:00,2026-12-31 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,654799.5193839994,0.74,0.26,UNRESOLVED,IR_CF
1577370,iran-leadership-change-or-us-x-iran-ceasefire-first,Iran leadership change or US x Iran ceasefire first?,Iran leadership change or US x Iran ceasefire first?,iran-leadership-change-or-us-x-iran-ceasefire-first,2026-03-13 18:55:01+00:00,2026-12-31 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,28593.11081,0.37,0.63,UNRESOLVED,IR_CF
1494826,will-there-be-a-us-x-iran-ceasefire-before-kevin-warsh-is-confirmed-as-fed-chair,Will there be a US x Iran ceasefire before Kevin Warsh is confirmed as Fed Chair?,What will happen before Kevin Warsh is confirmed?,what-will-happen-before-kevin-warsh-is-confirmed,2026-03-03 21:39:55+00:00,2026-10-31 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,44467.97225900002,0.485,0.515,UNRESOLVED,IR_CF
1484895,us-x-iran-ceasefire-by-june-30-752-741-257,US x Iran ceasefire by June 30?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-03-02 17:04:03+00:00,2026-06-30 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,2478784.5118759912,0.635,0.365,UNRESOLVED,IR_CF
1559953,us-x-iran-ceasefire-before-trump-visits-china,US x Iran ceasefire before Trump visits China?,US x Iran ceasefire before Trump visits China?,us-x-iran-ceasefire-before-trump-visits-china,2026-03-11 17:14:02+00:00,2026-06-30 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,68588.42812100008,0.54,0.46,UNRESOLVED,IR_CF
1734822,us-x-iran-ceasefire-before-oil-hits-120,US x Iran ceasefire before Oil hits $120?,US x Iran ceasefire before Oil hits $120?,us-x-iran-ceasefire-before-oil-hits-120,2026-03-26 20:45:04+00:00,2026-06-30 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,68657.50832200002,0.405,0.595,UNRESOLVED,IR_CF
1484894,us-x-iran-ceasefire-by-may-31-313-373-916,US x Iran ceasefire by May 31?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-03-02 17:03:42+00:00,2026-05-31 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,2449769.810023984,0.495,0.505,UNRESOLVED,IR_CF
1569627,us-x-iran-ceasefire-by-april-15-182-528-637,US x Iran ceasefire by April 15?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-03-12 16:42:24+00:00,2026-04-15 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,6681982.892939737,0.195,0.805,UNRESOLVED,IR_CF
1706788,us-x-iran-ceasefire-by-april-7-278,US x Iran ceasefire by April 7?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-03-24 17:52:05+00:00,2026-04-07 00:00:00+00:00,2026-03-31 13:43:23+00:00,0,1923804.9707669995,0.08,0.92,UNRESOLVED,IR_CF
1466015,us-x-iran-ceasefire-by-march-31,US x Iran ceasefire by March 31?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-02-28 13:44:02+00:00,2026-03-31 13:43:23+00:00,2026-03-31 13:43:23+00:00,0,42085838.09954412,0.0035,0.9965,UNRESOLVED,IR_CF
1466016,us-x-iran-ceasefire-by-april-30-194-679-389,US x Iran ceasefire by April 30?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-02-28 13:44:03+00:00,2026-03-31 13:43:23+00:00,2026-03-31 13:43:23+00:00,0,7178164.951393049,0.325,0.675,UNRESOLVED,IR_CF
1560186,russia-x-ukraine-ceasefire-before-us-x-iran-ceasefire,Russia x Ukraine ceasefire before US x Iran ceasefire?,Russia x Ukraine ceasefire before US x Iran ceasefire?,russia-x-ukraine-ceasefire-before-us-x-iran-ceasefire,2026-03-11 17:33:44+00:00,2026-03-31 13:43:23+00:00,2026-03-31 13:43:23+00:00,0,50558.006927000046,0.17,0.83,UNRESOLVED,IR_CF
666696,israel-x-iran-ceasefire-broken-by-march-31-2026-312-682,"Israel x Iran ceasefire broken by March 31, 2026?",Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-11-05 17:52:02+00:00,2026-03-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,1378470.576415,1.0,0.0,YES,IR_CF
958427,israel-x-iran-ceasefire-broken-by-june-30-2026-438-193,"Israel x Iran ceasefire broken by June 30, 2026?",Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-12-17 22:34:05+00:00,2026-03-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,213941.914764,1.0,0.0,YES,IR_CF
1466012,us-x-iran-ceasefire-by-march-2,US x Iran ceasefire by March 2?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-02-28 13:44:00+00:00,2026-03-19 09:09:23+00:00,2026-03-19 09:09:23+00:00,1,3493959.096746,0.0,1.0,NO,IR_CF
1466013,us-x-iran-ceasefire-by-march-6,US x Iran ceasefire by March 6?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-02-28 13:44:01+00:00,2026-03-19 09:09:23+00:00,2026-03-19 09:09:23+00:00,1,0.0,0.0,1.0,NO,IR_CF
1466014,us-x-iran-ceasefire-by-march-15,US x Iran ceasefire by March 15?,US x Iran ceasefire by...?,us-x-iran-ceasefire-by,2026-02-28 13:44:01+00:00,2026-03-19 09:09:23+00:00,2026-03-19 09:09:23+00:00,1,0.0,0.0,1.0,NO,IR_CF
566910,israel-x-iran-ceasefire-broken-by-december-31-374,Israel x Iran ceasefire broken by December 31?,Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-07-23 14:17:19+00:00,2025-12-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,1078689.797501,0.0,1.0,NO,IR_CF
566908,israel-x-iran-ceasefire-broken-by-october-31-879,Israel x Iran ceasefire broken by October 31?,Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-07-23 14:15:57+00:00,2025-10-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,839694.595454,0.0,1.0,NO,IR_CF
580847,israel-x-iran-ceasefire-broken-by-september-30,Israel x Iran ceasefire broken by September 30?,Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-08-25 14:07:58+00:00,2025-09-01 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,431463.582017,0.0,1.0,NO,IR_CF
555435,will-israel-or-iran-break-the-ceasefire-first,Will Israel or Iran break the ceasefire first?,Will Israel or Iran break the ceasefire first?,will-israel-or-iran-break-the-ceasefire-first,2025-06-24 20:14:53+00:00,2025-08-31 23:59:00+00:00,2026-03-19 09:09:23+00:00,1,114479.367736,0.5,0.5,AMBIG,IR_CF
555834,israel-x-iran-ceasefire-broken-by-august-31,Israel x Iran ceasefire broken by August 31?,Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-06-25 22:24:09+00:00,2025-08-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,334324.403879,0.0,1.0,NO,IR_CF
554713,us-x-iran-ceasefire-before-august,US x Iran ceasefire before August? ,US x Iran ceasefire before August? ,us-x-iran-ceasefire-before-august,2025-06-22 01:33:50+00:00,2025-07-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,240794.265583,0.0,1.0,NO,IR_CF
555833,israel-x-iran-ceasefire-broken-by-july-31,Israel x Iran ceasefire broken by July 31?,Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-06-25 22:22:33+00:00,2025-07-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,157519.702771,0.0,1.0,NO,IR_CF
555424,israel-x-iran-ceasefire-broken-by-june-27,Israel x Iran ceasefire broken by June 27? ,Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-06-24 18:37:45+00:00,2025-07-16 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,209118.952481,0.0,1.0,NO,IR_CF
555425,israel-x-iran-ceasefire-broken-by-july-11,Israel x Iran ceasefire broken by July 11? ,Israel x Iran ceasefire broken by...? ,israel-x-iran-ceasefire-broken-by,2025-06-24 18:37:45+00:00,2025-07-16 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,410443.8096,0.0,1.0,NO,IR_CF
552845,israel-x-iran-ceasefire-before-july-15,Israel x Iran ceasefire before July 15?,Israel x Iran ceasefire before July 15?,israel-x-iran-ceasefire-before-july-15,2025-06-16 14:22:27+00:00,2025-07-15 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,649193.157285,1.0,0.0,YES,IR_CF
552649,israel-x-iran-ceasefire-before-july,Israel x Iran ceasefire before July? ,Israel x Iran ceasefire before July? ,israel-x-iran-ceasefire-before-july,2025-06-15 17:52:19+00:00,2025-06-30 23:55:00+00:00,2026-03-19 09:09:23+00:00,1,51779894.19503,1.0,0.0,YES,IR_CF
554712,us-x-iran-ceasefire-before-july,US x Iran ceasefire before July? ,US x Iran ceasefire before July? ,us-x-iran-ceasefire-before-july,2025-06-22 01:30:16+00:00,2025-06-30 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,347829.063868,0.0,1.0,NO,IR_CF
552648,israel-x-iran-ceasefire-by-friday,Israel x Iran ceasefire by Friday? ,Israel x Iran ceasefire by Friday? ,israel-x-iran-ceasefire-by-friday,2025-06-15 17:26:45+00:00,2025-06-20 23:55:00+00:00,2026-03-19 09:09:23+00:00,1,285858.298907,0.0,1.0,NO,IR_CF
1139919,will-us-or-israel-strike-iran-by-january-8-2026,"Will US or Israel strike Iran by January 8, 2026?",US/Israel strikes Iran by...?,usisrael-strikes-iran-by,2026-01-08 22:34:56+00:00,2026-12-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,101670.289822,0.0,1.0,NO,IR_STRIKE
1139920,will-us-or-israel-strike-iran-by-january-9-2026,"Will US or Israel strike Iran by January 9, 2026?",US/Israel strikes Iran by...?,usisrael-strikes-iran-by,2026-01-08 22:34:56+00:00,2026-12-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,125988.664163,0.0,1.0,NO,IR_STRIKE
1139921,will-us-or-israel-strike-iran-by-january-10-2026,"Will US or Israel strike Iran by January 10, 2026?",US/Israel strikes Iran by...?,usisrael-strikes-iran-by,2026-01-08 22:34:57+00:00,2026-12-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,343643.685534,0.0,1.0,NO,IR_STRIKE
1139922,will-us-or-israel-strike-iran-by-january-11-2026,"Will US or Israel strike Iran by January 11, 2026?",US/Israel strikes Iran by...?,usisrael-strikes-iran-by,2026-01-08 22:34:57+00:00,2026-12-31 00:00:00+00:00,2026-03-19 09:09:23+00:00,1,434749.529083,0.0,1.0,NO,IR_STRIKE
